등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,전화번호,홈페이지,위도,경도,평점,1인용 객실 여부,1인용 객실 가격,2인용 객실 여부,2인용 객실 가격,3인용 객실 가격,3인용 객실 여부,4인용 객실 가격,4인용 객실 여부,냉장고,TV,난방,에어컨,욕조,테라스,커피/티 메이커,인터넷,세탁기,다람질 서비스,전용 수영장,반려동물 동반 있음,주방,주차장,체육관/피트니스,24시간 데스크,금연객실,스파/사우나,레스토랑,흡연 구역,더블베드,퀸베드,싱글베드
한국관광협회중앙회,관광호텔업,2성,2023-03-22,경기도,CS 프리미어 관광호텔,157,경기도 안양시 만안구 경수대로 1180  (안양동),031-478-0100,http://www.thecshotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,1성,2023-03-22,서울특별시,노바루스 관광 호텔,32,서울특별시 영등포구 선유로 88-6 노바루스관관호텔 (양평동1가),02-2671-5757,http://www.노바루스관광호텔.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-22,서울특별시,신라스테이 구로,309,서울특별시 동작구 시흥대로 596  (신대방동),02-2162-9102,http://www.shillastay.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,가족호텔업,5성,2023-03-21,서울특별시,메리어트 이그제큐티브 아파트먼트 서울,103,서울특별시 영등포구 여의대로 8  (여의도동),02-2090-8000,http://www.marriott.com/seler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-20,울산광역시,토요코인 울산 삼산동,281,울산광역시 남구 삼산로 308  (삼산동),052-257-1045,https://www.toyoko-inn.com/korea/search/detail/00310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-17,부산광역시,스탠포드 호텔 부산,132,부산광역시 중구 구덕로 53  (남포동5가),051-795-7700,http://www.stanfordbusan.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-17,서울특별시,신라스테이 광화문,338,서울특별시 종로구 삼봉로 71  (수송동),02-6060-9000,https://www.shillastay.com/gwanghwamun/index.do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-17,서울특별시,신라스테이 마포,382,서울특별시 마포구 마포대로 83  (도화동),02-6979-9000,http://www.shillastay.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-17,울산광역시,신라스테이 울산,335,울산광역시 남구 삼산로 200  (달동),052-900-9100,http://www.shillastay.com/ulsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-17,서울특별시,신라스테이 역삼,306,서울특별시 강남구 언주로 517  (역삼동),02-2054-9000,http://www.shillastay.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,가족호텔업,3성,2023-03-14,서울특별시,라코지스테이 서울,68,서울특별시 중랑구 망우로 232  (상봉동),02-433-6888,http://www.lacozistay.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-13,경기도,그린피아 호텔,52,경기도 화성시 세자로 438 그린피아호텔 (안녕동),031-225-3366,http://www.greenpiahotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-13,서울특별시,나인브릭호텔,94,서울특별시 마포구 홍익로5길 32  (서교동),02-3141-8800,http://www.9brickhotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-13,울산광역시,울산 시티 호텔,90,울산광역시 남구 삼산로 246 울산시티호텔 (달동),052-240-2024,http://ulsancityhotel.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,1성,2023-03-10,경상남도,호텔 휴,30,경상남도 통영시 통영해안로 573  (무전동),055-646-6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,1성,2023-03-10,서울특별시,호텔 컬리넌 건대 2,56,서울특별시 광진구 동일로 214 (군자동),02-499-1583,http://hotel cullnan.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-06,대전광역시,베니키아 호텔 대림,44,대전광역시 중구 대종로505번길 50  (선화동),042-251-9500,http://www.daelimhotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-06,대전광역시,디엠프레스 호텔,66,대전광역시 서구 한밭대로570번길 29-20  (월평동),042-485-3030,http://www.theempresshotel.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-06,서울특별시,맹그로브 동대문,177,서울특별시 중구 퇴계로 334  (광희동2가),02-0000-0000,https://mangrove.city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-06,경상남도,베스트 루이스 해밀턴 호텔,70,경상남도 창원시 성산구 마디미로70번길 10 베스트루이스해밀턴호텔 (상남동),055-261-2525,http://www.bestlouishamilton.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2023-03-06,강원도,인제스피디움,134,강원도 인제군 기린면 상하답로 130  ,033-1644-3366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,1성,2023-03-06,인천광역시,영종관광호텔,45,인천광역시 중구 운중로21번길 8  (운남동),032-751-8868,,37.4942404,126.5325529,3.6,있음,41000.0,있음,41000.0,없음,,없음,,있음,있음,있음,있음,있음,없음,있음,있음,없음,없음,없음,없음,없음,있음,없음,없음,있음,없음,없음,있음,없음,있음,있음
한국관광협회중앙회,관광호텔업,2성,2023-03-03,경기도,대부도관광호텔,37,경기도 안산시 단원구 사근여길 5 대부도 마리나 호텔 (대부북동),032-888-3860,http://hoteldaebudo.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,5성,2023-03-02,인천광역시,그랜드 하얏트 인천 이스트 타워,523,인천광역시 중구 영종해안남로321번길 208  (운서동),032-745-1234,http://incheon.grand@hyatt.com,37.4399454,126.451972,4.5,없음,,있음,327000.0,있음,410000.0,있음,507000.0,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음
한국관광협회중앙회,관광호텔업,3성,2023-03-02,서울특별시,호텔 프린스 서울,100,서울특별시 중구 퇴계로 130 서울프린스호텔 (남산동2가),02-752-7111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-02,부산광역시,에이치에비뉴 호텔 광안리 해변점,34,부산광역시 수영구 광안해변로278번길 42 b동 9층 (민락동),051-751-5858,http://www.havenuebeach.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-02,서울특별시,호텔 아트리움 종로,139,서울특별시 종로구 창경궁로 106  (인의동),02-767-9800,https://www.seanhotelgroup.com/hotels/atrium-jongno/ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,5성,2023-02-28,서울특별시,안다즈 서울 강남,241,서울특별시 강남구 논현로 854  (신사동),02-2193-1234,http:// http://www.hyatt.com/ko-kr/hotel/south-korea/andaz-seoul-gangnam/selaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-02-28,경상남도,통영거북선호텔,40,경상남도 통영시 미수해안로 72  (미수동),055-646-0710,http://www.geobukseonhotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,5성,2023-02-21,인천광역시,그랜드하얏트인천 웨스트타워,501,인천광역시 중구 영종해안남로321번길 190  (운서동),032-745-1234,http://www.grandhyattincheon.com,37.4399454,126.451972,4.4,없음,,있음,327000.0,있음,410000.0,있음,507000.0,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음
한국관광협회중앙회,관광호텔업,2성,2023-02-21,경기도,송탄 메트로 관광호텔,50,경기도 평택시 관광특구로 24 메트로폴관광호텔 (서정동),031-668-0002,http://www.metropolehotel.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-02-21,경상북도,호텔스테이 구미,60,경상북도 구미시 여헌로 9 (인의동),054-475-9090,http://hotelstaygumi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-02-17,부산광역시,(주)부산관광호텔,275,부산광역시 중구 광복로97번길 23  (동광동2가),051-241-4301,http://www.busanhotel.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-02-17,경상북도,경주 지지 관광호텔,53,경상북도 경주시 태종로699번길 3  (노서동),054-701-0090,http://www.gghotel.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-02-17,인천광역시,리버관광호텔,63,인천광역시 계양구 계양문화로53번길 6,032-554-0310,http://www.riverhotel.co.kr,37.4399454,126.451972,4.5,없음,,있음,49500.0,없음,,없음,,있음,있음,있음,있음,있음,없음,있음,있음,없음,없음,없음,없음,없음,있음,없음,있음,있음,없음,없음,있음,있음,없음,있음
한국관광협회중앙회,관광호텔업,3성,2023-02-17,서울특별시,메이플레이스 서울 동대문,105,서울특별시 종로구 율곡로 179  (원남동),02-742-8080,http://www.mayplace.co.kr/mobile/kor/asp/index/index.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-02-17,인천광역시,호텔카리스,142,인천광역시 계양구 계양대로 28  (작전동),032-556-0880,http://www.hotelcharis.com,37.5264073,126.7185357,4.2,없음,,있음,140000.0,없음,,없음,,있음,있음,있음,있음,있음,없음,있음,있음,없음,있음,없음,없음,없음,있음,없음,있음,있음,없음,있음,있음,있음,없음,없음
한국관광협회중앙회,관광호텔업,3성,2023-02-16,서울특별시,이비스 앰배서더 명동,279,서울특별시 중구 남대문로 78 이비스 앰배서더 명동 (명동1가),02-6361-8888,https://www.ambatel.com/ibis/myeongdong/ko/main.do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-02-16,서울특별시,이비스 스타일 앰배서더 서울 강남,317,서울특별시 강남구 삼성로 431  (대치동),02-3011-8888,https://ambatel.com/ibisstyles/gangnam/ko/main.do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-02-14,부산광역시,마리안느 호텔,127,부산광역시 해운대구 해운대해변로 310 1층 (중동),051-606-0600,http://www.mariannehotel.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-02-14,부산광역시,토요코인 부산 해운대 2호점,442,부산광역시 해운대구 해운대해변로237번길 5  (우동),051-741-1045,http://www.toyoko-inn.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-02-10,경기도,호텔 리츠,45,경기도 수원시 팔달구 권광로134번길 44-11  (인계동),031-224-1100,http://www.hotel-ritz.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,한국전통호텔업,5성,2023-02-03,인천광역시,경원재 앰배서더 인천,30,인천광역시 연수구 테크노파크로 200  (송도동),032-729-1101,http://www.gyeongwonjae.co.kr/,37.391937,126.6333497,4.6,있음,330000.0,있음,374000.0,없음,,없음,,있음,있음,있음,있음,있음,있음,있음,있음,있음,있음,없음,있음,있음,있음,있음,있음,있음,없음,있음,있음,없음,있음,있음
한국관광협회중앙회,관광호텔업,3성,2023-02-03,서울특별시,호텔 뉴브,150,서울특별시 강남구 선릉로85길 6 호텔뉴브 (역삼동),02-740-5000,http://www.newvhotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2023-02-02,광주광역시,라마다 프라자 광주 호텔,123,광주광역시 서구 상무자유로 149  (치평동),062-717-7000,http://www.ramadagwangju.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-02-02,서울특별시,이비스 앰배서더 인사동,363,서울특별시 종로구 삼일대로30길 31  (익선동),02-6730-1101,https://www.ambatel.com/ibis/insadong/ko/main.do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-01-31,경상북도,구미 센츄리 호텔,131,경상북도 구미시 3공단1로 296  (임수동),054-478-0100,http://www.gumicentury.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-01-25,광주광역시,에이치원호텔,87,광주광역시 북구 대자로106번길 10-6  (운암동),062-376-3000,http://www.h1hotel.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-01-19,경기도,호텔 아스트로,94,경기도 용인시 수지구 포은대로 479  (풍덕천동),031-893-9078,https://astrohotel.modoo.at/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-01-17,서울특별시,제이베이관광호텔,52,서울특별시 강북구 한천로140길 14 제이베이관광호텔 (수유동),02-900-2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-30,광주광역시,엠파이어관광호텔,43,광주광역시 광산구 임방울대로800번길 25  (월계동),062-962-2000,http://www.empirehotel.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-30,서울특별시,글래드 마포,378,서울특별시 마포구 마포대로 92  (도화동),02-2197-5000,https://gladmapo-hotels.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-30,서울특별시,글래드 여의도,319,서울특별시 영등포구 의사당대로 16 글래드호텔 여의도 (여의도동),02-6222-5000,https://www.gladyeouido-hotels.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2022-12-30,부산광역시,부산 시티 호텔,122,부산광역시 연제구 신촌로 19  (연산동),051-851-1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-30,강원도,비발디파크,79,강원도 홍천군 서면 한치골길 262  ,033-439-7763,https://www.sonohotelsresorts.com/daemyung.vp.accomodation.01_09_01.ds/dmparse.dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-30,부산광역시,토요코인 부산역 2호점,491,부산광역시 중구 중앙대로 125  (대창동1가),051-442-1045,http://www.toyoko-inn.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,가족호텔업,2성,2022-12-30,서울특별시,프로비스타 호텔 강남,79,서울특별시 서초구 서초대로 338  (서초동),02-597-1140,http://www.provista.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-30,서울특별시,호텔 디 아티스트 성신여대점,48,서울특별시 성북구 동소문로 126  (동선동1가),02-921-9901,http://www.theartist.modoo.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,5성,2022-12-29,부산광역시,파라다이스 호텔 부산,532,부산광역시 해운대구 해운대해변로 296  (중동),051-742-2121,https://www.busanparadisehotel.co.kr/front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2022-12-29,서울특별시,나인트리 호텔 명동,144,서울특별시 중구 명동10길 51 나인트리호텔 명동 (충무로2가),02-750-0900,http://www.ninetreehotels.com/nth1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-29,서울특별시,아난티 앳 강남,118,서울특별시 강남구 논현로 734  (논현동),02-2190-4000,https://ananti.kr/ko/ganm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-28,경상남도,호텔 인터내셔널,121,경상남도 창원시 성산구 중앙대로 69  (중앙동),055-281-1001,https://www.hi1001.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2022-12-28,서울특별시,호텔 레이크,94,서울특별시 송파구 석촌호수로 216  (석촌동),02-422-1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2022-12-28,경기도,엠블던호텔,386,경기도 안산시 단원구 중앙대로 869 엠블던호텔 (고잔동),031-413-2222,http://www.embledonhotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-28,경상남도,진주 카이 호텔,43,경상남도 진주시 정촌면 화개천로 132-14  ,055-756-9200,http://www.jinjukai.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,1성,2022-12-28,서울특별시,호텔 더 캐슬(방이2),41,서울특별시 송파구 올림픽로32길 7-1  (방이동),02-412-2220,http://hotel-thecastle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-28,서울특별시,호텔 디아망,50,서울특별시 강서구 남부순환로 190  (외발산동),02-2666-0158,http://www.hoteldiamant.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-27,경상북도,호텔 금오산,130,경상북도 구미시 금오산로 400  (남통동),054-450-4000,https://www.hotelgeumosan.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2022-12-27,울산광역시,롯데 시티 호텔 울산,349,울산광역시 남구 삼산로 204  (달동),052-990-1313,https://www.lottehotel.com/ulsan-city/ko.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,5성,2022-12-27,울산광역시,롯데 호텔 울산,200,울산광역시 남구 삼산로 282  (삼산동),052-960-1000,https://www.lottehotel.com/ulsan-hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-27,울산광역시,머큐어 앰배서더 울산,131,울산광역시 북구 강동산하2로 7  (산하동),052-980-1101,https://www.ambatel.com/mercure/ulsan/ko/main.do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-27,경기도,밀리토피아 호텔,176,경기도 성남시 수정구 위례대로 83 밀리토피아시티 (창곡동),031-727-9300,http://www.militopiahotel.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-27,경기도,라트리 호텔,58,경기도 의정부시 청사로6번길 19-13  (신곡동),031-843-5100,http://www.uijeongbu-latree.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2022-12-27,서울특별시,이비스 스타일 앰배서더 서울 명동,180,서울특별시 중구 삼일대로 302  (충무로2가),02-6020-8814,https://www.ambatel.com/ibisstyles/myeongdong/ko/main.do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-27,서울특별시,캘리포니아 관광호텔,131,서울특별시 송파구 송파대로28길 11  (가락동),02-401-4653,http://www.california-hotel.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-27,서울특별시,코트야드 메리어트 서울 남대문,400,서울특별시 중구 남대문로 9  (남대문로4가),02-2211-8000,https://www.marriott.co.kr/selsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2022-12-27,대전광역시,베니키아 테크노밸리 호텔,73,대전광역시 유성구 테크노중앙로 57  (관평동),042-671-0500,http://www.hoteltechnovalley.com/main/index.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-27,경기도,호텔클로버,88,경기도 안산시 상록구 양지편로 22  (이동),031-417-9300,http://www.hotelclover.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-27,서울특별시,티롤관광호텔,83,서울특별시 서초구 나루터로 64 티롤관광호텔 (잠원동),02-544-1004,http://www.hoteltirol.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2022-12-22,서울특별시,이비스 스타일 앰배서더 서울 용산,591,서울특별시 용산구 청파로20길 95  (한강로3가),02-2223-7000,https://www.seouldragoncity.com/ko/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-22,부산광역시,부산광안리 오션투헤븐,26,부산광역시 수영구 광안해변로278번길 42 A동5층 (민락동),051-761-3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2022-12-22,부산광역시,오션 더 포인트 호텔,45,부산광역시 수영구 광안해변로278번길 42 오션브릿지 A동 8층 오션 더 포인트 호텔 (민락동),051-929-8600,https://oceanthepoint.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
